GCA_013114135	Vibrio cortegadensis
GCA_019670025	Vibrio alfacsensis
GCA_002608565	Vibrio sp002608565
GCA_011806575	Vibrio hepatarius_A
GCA_001274785	Vibrio hepatarius
GCA_000775725	Vibrio sinaloensis
GCA_009811315	Vibrio atypicus
GCA_000775715	Vibrio tubiashii_A
GCA_001188205	Vibrio bivalvicida
GCA_000259295	Vibrio tubiashii
GCA_022398025	Vibrio coralliilyticus_A
GCA_013214045	Vibrio neptunius
GCA_013113835	Vibrio sp013113835
GCA_011212705	Vibrio coralliilyticus
GCA_012395185	Vibrio aestuarianus
GCA_000287135	Vibrio anguillarum
GCA_002257545	Vibrio ordalii
GCA_011306175	Vibrio sp011306175
GCA_009763905	Vibrio metoecus
GCA_009665255	Vibrio metoecus_B
GCA_019048845	Vibrio sp000176715
GCA_000176375	Vibrio mimicus
